number,title,type,url,engagement_kinds,created_at,updated_at,organization,repository,contributor
3709,should we remove support for inline consolidated metadata?,Issue,https://github.com/zarr-developers/zarr-python/issues/3709,comment,2026-02-13T19:10:05Z,2026-07-23T20:12:48Z,zarr-developers,zarr-python,d-v-b
3781,Implement support for `structured` and `struct` zarr-extension defined dtypes,PullRequest,https://github.com/zarr-developers/zarr-python/pull/3781,comment,2026-03-16T15:19:48Z,2026-07-20T20:00:52Z,zarr-developers,zarr-python,d-v-b
3826,feat: subchunk write order,PullRequest,https://github.com/zarr-developers/zarr-python/pull/3826,comment,2026-03-24T11:04:30Z,2026-08-20T12:30:20Z,zarr-developers,zarr-python,d-v-b
3868,Rename `all_chunk_coords` → `iter_chunk_coords` with deprecation shim for the old name,Issue,https://github.com/zarr-developers/zarr-python/issues/3868,comment,2026-04-03T15:46:04Z,2026-07-30T06:35:21Z,zarr-developers,zarr-python,d-v-b
3896,chore: automate more of the release process,PullRequest,https://github.com/zarr-developers/zarr-python/pull/3896,comment,2026-04-09T16:49:56Z,2026-07-29T21:38:45Z,zarr-developers,zarr-python,d-v-b
3909,TESTS: don't force rectilinear config true in the test,PullRequest,https://github.com/zarr-developers/zarr-python/pull/3909,comment,2026-04-15T14:59:15Z,2026-07-15T19:31:17Z,zarr-developers,zarr-python,d-v-b
3925,feat:get_ranges,PullRequest,https://github.com/zarr-developers/zarr-python/pull/3925,comment,2026-04-24T19:06:38Z,2026-08-13T22:02:31Z,zarr-developers,zarr-python,chuckwondo
3925,feat:get_ranges,PullRequest,https://github.com/zarr-developers/zarr-python/pull/3925,comment,2026-04-24T19:06:38Z,2026-08-13T22:02:31Z,zarr-developers,zarr-python,kylebarron
3928,Use f-strings,PullRequest,https://github.com/zarr-developers/zarr-python/pull/3928,comment,2026-04-28T11:42:50Z,2026-07-28T13:01:09Z,zarr-developers,zarr-python,d-v-b
3940,ci: run all of xarray's tests in downstream workflow,PullRequest,https://github.com/zarr-developers/zarr-python/pull/3940,comment,2026-05-03T14:22:58Z,2026-08-04T03:01:07Z,zarr-developers,zarr-python,d-v-b
3943,chore: update pre-commit hooks,PullRequest,https://github.com/zarr-developers/zarr-python/pull/3943,comment,2026-05-04T19:09:20Z,2026-08-04T19:04:56Z,zarr-developers,zarr-python,d-v-b
